frame,frameTime,fps,cpuFrameTime,mainThreadTime,gpuFrameTime,drawCalls,batches,setPassCalls,triangles,gcAlloc,totalMemory,vramUsage,shadowCasters,savedByBatching
0,5124.41968917847,0.195144047649289,0,0,0,0,0,0,0,0,0,0,0,0
1,1305.62472343445,0.765916868799404,0,0,0,0,0,0,0,6.39081192016602,7481.02142620087,3615.91231632233,0,0
2,116.363100707531,8.59378955974555,0,679.7462,0,56576,43773,210,974291806,5.0662317276001,7511.0940246582,3612.94069766998,32000,0
3,202.97859609127,4.92662782804126,0,106.6694,0,130145,117250,410,2298047283,0.630427360534668,7483.36641407013,3614.08411121368,62803,0
4,415.046900510788,2.40936626383506,0,600.7231,0,122323,100947,404,2060497809,0.509482383728027,7393.45368289948,3523.51677036285,64000,0
5,18.0835034698248,55.2990188913702,0,18.2863,0.065536,0,0,0,0,0.063166618347168,7393.59765338898,3523.54988193512,0,0
6,205.517694354057,4.86576108759396,0,17.7185,0,63369,54184,205,1119317887,0.0588006973266602,7392.74778652191,3522.57898807526,32000,0
7,205.291301012039,4.87112700377575,0,202.9859,203.815936,63970,55828,205,1147653685,0.0588006973266602,7423.71159172058,3522.65871524811,31972,0
8,204.769507050514,4.88353961683031,0,206.7738,204.292096,64308,59240,205,1118439012,0.060847282409668,7393.42473316193,3521.72186756134,32000,0
9,205.12330532074,4.87511644976838,0,205.1566,204.157952,64006,55686,205,1099295104,0.0603666305541992,7393.61792087555,3521.82896518707,32000,0
10,204.761996865273,4.88371873350098,0,205.6759,205.09184,63971,55151,205,1108075287,0.0609464645385742,7393.7743768692,3521.86287784576,32000,0
11,204.763308167458,4.88368745821488,0,206.4012,204.73344,63379,54797,205,1123910406,0.0594015121459961,7393.83389949799,3521.8919839859,32000,0
12,205.831795930862,4.8583358828385,0,202.8351,205.093888,63542,55416,205,1085988583,0.0609540939331055,7393.91060352325,3521.92589664459,32000,0
13,204.691901803017,4.88539112290989,0,206.6421,204.663808,63038,52989,205,1122490219,0.0586423873901367,7394.03220272064,3521.95622348785,32000,0
14,204.880997538567,4.88088213164699,0,204.7272,204.624896,62621,53756,205,1069135927,0.0586423873901367,7400.90013504028,3521.9829492569,32000,0
15,205.152899026871,4.87441320470456,0,206.0229,205.208576,64319,56068,205,1139007500,0.0586423873901367,7401.00576591492,3522.01710605621,32000,0
16,206.588894128799,4.84053126000347,0,204.3655,204.89216,62436,54675,205,1068766180,0.0609540939331055,7401.05130386353,3522.01917362213,32000,0
17,206.829503178596,4.83490016961702,0,206.2477,204.555264,63690,55122,205,1063450273,0.0623350143432617,7394.35316944122,3522.07890415192,32000,0
18,206.194803118706,4.84978275337183,0,208.2975,204.635136,62346,54352,205,1060833542,0.0594015121459961,7394.43493938446,3522.11056613922,32000,0
19,206.027999520302,4.8537092158751,0,204.2609,206.278656,64107,55644,205,1063159374,0.0594015121459961,7394.47491931915,3522.13978672028,32000,0
20,206.361994147301,4.84585354067766,0,206.4213,206.291968,61161,51152,205,994668145,0.0608091354370117,7394.54762363434,3522.17356586456,32000,0
21,206.303209066391,4.84723434272022,0,206.6427,205.857792,64256,56671,205,1049526629,0.0586423873901367,7401.41473007202,3522.2026720047,32000,0
22,206.475004553795,4.84320124927984,0,205.8442,205.671424,62823,54495,205,1081741151,0.0609540939331055,7394.68137073517,3522.23658466339,32000,0
23,206.45859837532,4.84358611299929,0,206.7873,206.016512,63053,53587,205,1086495996,0.0586423873901367,7394.77816486359,3522.26702594757,32000,0
